"team","country","overall_points_team","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"Bodø/Glimt","Norway",13.75,31,44.4,":no:","Norway: 31 points","Aspmyra Stadion",67.2775,14.384166666
"Bohemians Dublin","Ireland",1.375,11.875,11.6,":ie:","Ireland: 11.875 points","Dalymount Park",53.361667,-6.275
"Bohemians Praha","Czech Republic",0,36.55,0,":cz:","Czech Republic: 36.55 points",,,
"Bologna","Italy",0.75,79.107,0.9,":it:","Italy: 79.107 points",,,
"Borussia Dortmund","Germany",11.857,71.661,16.5,":de:","Germany: 71.661 points","Westfalenstadion",51.4925,7.451667
"Borussia Mönchengladbach","Germany",2.143,71.661,3,":de:","Germany: 71.661 points","Borussia-Park",51.174583333,6.385463888
"Botev Plovdiv","Bulgaria",0.75,18.375,4.1,":bg:","Bulgaria: 18.375 points","Hristo Botev Stadium",42.139861,24.764444
"Breidablik","Iceland",4.583,10.958,41.8,":is:","Iceland: 10.958 points","Kópavogsvöllur",64.104167,-21.896667
"Brighton & Hove Albion","England",2,89.161,2.2,":gb-eng:","England: 89.161 points",,,
"Brøndby IF","Denmark",1.4,28.95,4.8,":dk:","Denmark: 28.95 points","Brøndby Stadium",55.648853,12.418358
"Buducnost Podgorica","Montenegro",2.083,7.208,28.9,":me:","Montenegro: 7.208 points","Podgorica City Stadium",42.444728,19.264378
"Caernarfon Town","Wales",0.25,5.917,4.2,":gb-wls:","Wales: 5.917 points",,,
"CD Santa Clara","Portugal",0.833,50.117,1.7,":pt:","Portugal: 50.117 points","Estádio de São Miguel",37.763708,-25.622589
"Celtic","Scotland",7.7,28.4,27.1,":gb-sct:","Scotland: 28.4 points","Celtic Park",55.849696,-4.2055427
"Cercle Brugge","Belgium",0.5,43.6,1.1,":be:","Belgium: 43.6 points",,,
"CFR Cluj","Romania",8.625,18,47.9,":ro:","Romania: 18 points","Stadionul Dr. Constantin Radulescu",46.779678,23.577247
"Charleroi","Belgium",0.4,43.6,0.9,":be:","Belgium: 43.6 points","Stade du Pays de Charleroi",50.414609,4.453787
"Chelsea","England",11.286,89.161,12.7,":gb-eng:","England: 89.161 points","Stamford Bridge",51.481666666,-0.191111111
"Cherno More Varna","Bulgaria",0.125,18.375,0.7,":bg:","Bulgaria: 18.375 points",,,
"Cliftonville","Northern Ireland",0,7.583,0,":gb-nir:","Northern Ireland: 7.583 points","Solitude",54.619517,-5.947272
"Club Brugge","Belgium",13.3,43.6,30.5,":be:","Belgium: 43.6 points","Jan Breydel Stadium",51.193269,3.181311
"Coleraine","Northern Ireland",1.167,7.583,15.4,":gb-nir:","Northern Ireland: 7.583 points","The Showgrounds",55.132778,-6.660278
"Connah's Quay","Wales",0.875,5.917,14.8,":gb-wls:","Wales: 5.917 points","Deeside Stadium",53.225338,-3.076504
"Corvinul Hunedoara","Romania",0.375,18,2.1,":ro:","Romania: 18 points",,,
"Cosmos","San Marino",0.167,2.5,6.7,":sm:","San Marino: 2.5 points",,,
"Cracovia Kraków","Poland",0.125,25.875,0.5,":pl:","Poland: 25.875 points","Marshal Józef Pilsudski Stadium",50.058056,19.919722
"Crusaders Belfast","Northern Ireland",1.125,7.583,14.8,":gb-nir:","Northern Ireland: 7.583 points","Seaview",54.624294,-5.921925
"Crvena zvezda","Serbia",11.125,22.275,49.9,":rs:","Serbia: 22.275 points","Red Star Stadium",44.7832,20.464914
"CS Fola Esch","Luxembourg",1.375,6.875,20,":lu:","Luxembourg: 6.875 points","Stade Émile Mayrisch",49.492222222,5.989722222
"CSKA 1948 Sofia","Bulgaria",0.625,18.375,3.4,":bg:","Bulgaria: 18.375 points",,,
"CSKA Moscow","Russia",0.5,13.966,3.6,":ru:","Russia: 13.966 points","Arena CSKA",55.791389,37.516111
"CSKA Sofia","Bulgaria",4.5,18.375,24.5,":bg:","Bulgaria: 18.375 points","Balgarska Armia Stadium",42.684258,23.339769
"Cukaricki Belgrade","Serbia",1.125,22.275,5.1,":rs:","Serbia: 22.275 points","Stadion Cukaricki",44.772658,20.421639
"DAC Dunajska Streda","Slovakia",2.125,19.25,11,":sk:","Slovakia: 19.25 points","DAC Stadion",47.99888889,17.61833333
"Decic Tuzi","Montenegro",1.125,7.208,15.6,":me:","Montenegro: 7.208 points","Stadion Tuško Polje",42.3599,19.3264
"Derry City","Ireland",1.375,11.875,11.6,":ie:","Ireland: 11.875 points","Brandywell Stadium",54.990633,-7.336
"Desna Chernihiv","Ukraine",0.1,22.7,0.4,":ua:","Ukraine: 22.7 points","Chernihiv Stadium",51.50166667,31.32722222
"Differdange 03","Luxembourg",0.75,6.875,10.9,":lu:","Luxembourg: 6.875 points","Stade Municipal de la Ville de Differdange",49.513932,5.889775
"Dila Gori","Georgia",0.875,6.625,13.2,":ge:","Georgia: 6.625 points","Tengiz Burjanadze Stadium",41.983019,44.103828
"Dinamo-Auto Tiraspol","Moldova",0.125,14,0.9,":md:","Moldova: 14 points","Dinamo-Auto Stadium",46.81194,29.55278
"Dinamo Batumi","Georgia",1.75,6.625,26.4,":ge:","Georgia: 6.625 points","Chele Arena",41.812981,41.774458
"Dinamo Minsk","Belarus",1.5,5.5,27.3,":by:","Belarus: 5.5 points","Dinamo Stadium",53.895138888,27.560277777
"Dinamo Moscow","Russia",0.083,13.966,0.6,":ru:","Russia: 13.966 points","VTB Arena",55.7914,37.5597
"Dinamo Tbilisi","Georgia",1.125,6.625,17,":ge:","Georgia: 6.625 points","Dinamo Arena",41.723,44.78975
"Djurgårdens IF","Sweden",5.875,19.25,30.5,":se:","Sweden: 19.25 points","Stockholm Olympic Stadium",59.345278,18.078889
"Dundalk","Ireland",2.625,11.875,22.1,":ie:","Ireland: 11.875 points","Oriel Park",53.998944,-6.416917
"Dundee United","Scotland",0.2,28.4,0.7,":gb-sct:","Scotland: 28.4 points","Tannadice Park",56.474703,-2.968961
"DVSC Debrecen","Hungary",0.375,20.375,1.8,":hu:","Hungary: 20.375 points","Stadion Oláh Gábor Út",47.549573,21.638882
"Dynamo Brest","Belarus",1,5.5,18.2,":by:","Belarus: 5.5 points","Regional Sport Complex Brestsky",52.089722222,23.68375
"Dynamo Kyiv","Ukraine",5.5,22.7,24.2,":ua:","Ukraine: 22.7 points","Olimpiyskiy National Sports Complex",50.433333333,30.521666666
"Egnatia Rrogozhinë","Albania",0.75,7.875,9.5,":al:","Albania: 7.875 points",,,
"Eintracht Frankfurt","Germany",7.357,71.661,10.3,":de:","Germany: 71.661 points","Waldstadion",50.068611,8.645278
"Europa FC","Gibraltar",0.458,5.125,8.9,":gi:","Gibraltar: 5.125 points","Victoria Stadium",36.149356,-5.350342
"F91 Dudelange","Luxembourg",2.25,6.875,32.7,":lu:","Luxembourg: 6.875 points","Stade Jos Nosbaum",49.472222222,6.084722222
"FA Siauliai","Lithuania",0.125,8.125,1.5,":lt:","Lithuania: 8.125 points",,,
"Farul Constanta","Romania",1.5,18,8.3,":ro:","Romania: 18 points",,,
"FC Arouca","Portugal",0.167,50.117,0.3,":pt:","Portugal: 50.117 points",,,
"FC Ballkani","Kosovo",5.25,12.042,43.6,":xk:","Kosovo: 12.042 points","Balkanabat Stadium",39.511944,54.365
"FC Barcelona","Spain",10.589,73.991,14.3,":es:","Spain: 73.991 points","Camp Nou",41.380833,2.1225
"FC Basel","Switzerland",10.95,28.075,39,":ch:","Switzerland: 28.075 points","St. Jakob-Park",47.541389,7.62
"FC Botosani","Romania",0.5,18,2.8,":ro:","Romania: 18 points","Stadionul Municipal",47.7483,26.6519
"FC Drita","Kosovo",3.083,12.042,25.6,":xk:","Kosovo: 12.042 points","Stadium Bogovinje",41.4375,22.7689
"FC Fehérvár","Hungary",2.5,20.375,12.3,":hu:","Hungary: 20.375 points","Sóstói Stadion",47.17369444,18.41536111
"FC Gomel","Belarus",0,5.5,0,":by:","Belarus: 5.5 points","Central Stadium",52.436527777,31.012361111
"FC Hegelmann","Lithuania",0.125,8.125,1.5,":lt:","Lithuania: 8.125 points",,,
"FC København","Denmark",11.9,28.95,41.1,":dk:","Denmark: 28.95 points","Parken Stadium",55.702469,12.572203
"FC Lugano","Switzerland",0.9,28.075,3.2,":ch:","Switzerland: 28.075 points","Cornaredo Stadium",46.023611,8.961667
"FC Luzern","Switzerland",0.4,28.075,1.4,":ch:","Switzerland: 28.075 points","Swissporarena",47.033264,8.305187
"FC Midtjylland","Denmark",8.475,28.95,29.3,":dk:","Denmark: 28.95 points","MCH Arena",56.11666667,8.95166667
"FC Nantes","France",1.5,58.095,2.6,":fr:","France: 58.095 points","Stade de la Beaujoire",47.255556,-1.525278
"FC Noah","Armenia",1.75,11.25,15.6,":am:","Armenia: 11.25 points","Mika Stadium",40.149373,44.476449
"FC Nordsjælland","Denmark",2.625,28.95,9.1,":dk:","Denmark: 28.95 points","Farum Park",55.815847,12.353289
"FC Porto","Portugal",12.933,50.117,25.8,":pt:","Portugal: 50.117 points","Estádio do Dragão",41.161758,-8.583933
"FC Prishtina","Kosovo",1.5,12.042,12.5,":xk:","Kosovo: 12.042 points","Fadil Vokrri Stadium",42.66297,21.15688
"FC Salzburg","Austria",9.7,29.5,32.9,":at:","Austria: 29.5 points","Red Bull Arena",47.81625,12.998222222
"FC Sankt Gallen","Switzerland",0.725,28.075,2.6,":ch:","Switzerland: 28.075 points","kybunpark",47.408333,9.306389
"FC Santa Coloma","Andorra",1.667,5.333,31.3,":ad:","Andorra: 5.333 points","Estadi Comunal d'Aixovall",42.476389,1.487667
"FC Sochi","Russia",0.6,13.966,4.3,":ru:","Russia: 13.966 points","Fisht Olympic Stadium",43.401769445,39.955858093
"FC Struga","North Macedonia",1.333,6.167,21.6,":mk:","North Macedonia: 6.167 points","Gradska Plaža Stadium",41.1728,20.6842
"FC Twente Enschede","Netherlands",1.283,54.567,2.4,":nl:","Netherlands: 54.567 points","De Grolsch Veste",52.236666666,6.8375
"FC Vaduz","Liechtenstein",8,8,100,":li:","Liechtenstein: 8 points","Rheinpark Stadion",47.140277777,9.510277777
"FC Zürich","Switzerland",1.925,28.075,6.9,":ch:","Switzerland: 28.075 points","Letzigrund",47.382791,8.503801
"FCB Magpies","Gibraltar",0.75,5.125,14.6,":gi:","Gibraltar: 5.125 points","Victoria Stadium",36.149356,-5.350342
"FCSB","Romania",4.125,18,22.9,":ro:","Romania: 18 points","National Arena",44.4372,26.1525
"Fenerbahçe","Turkey",11.1,35.3,31.4,":tr:","Turkey: 35.3 points","Sükrü Saracoglu Stadium",40.9875,29.036666666
"Ferencváros","Hungary",12.875,20.375,63.2,":hu:","Hungary: 20.375 points","Groupama Arena",47.475277777,19.096111111
"Feyenoord","Netherlands",12.9,54.567,23.6,":nl:","Netherlands: 54.567 points","De Kuip",51.893894444,4.523252777
"FH Hafnarfjardar","Iceland",0.625,10.958,5.7,":is:","Iceland: 10.958 points","Kaplakriki",64.075833,-21.938611
"Fiorentina","Italy",6.929,79.107,8.8,":it:","Italy: 79.107 points","Stadio Artemio Franchi (Florence)",43.780822,11.282258
"FK Aktobe","Kazakhstan",0.625,9.875,6.3,":kz:","Kazakhstan: 9.875 points",,,
"FK Astana","Kazakhstan",3.25,9.875,32.9,":kz:","Kazakhstan: 9.875 points","Astana Arena",51.108056,71.401667
"FK Auda","Latvia",1.375,11,12.5,":lv:","Latvia: 11 points",,,
"FK Borac Banja Luka","Bosnia-Herzegovina",1.625,10,16.2,":ba:","Bosnia-Herzegovina: 10 points","Gradski stadion",44.7761,17.1996
"FK Jablonec","Czech Republic",1.5,36.55,4.1,":cz:","Czech Republic: 36.55 points","Chance Arena",50.714964,15.162225
"FK Krasnodar","Russia",1.667,13.966,11.9,":ru:","Russia: 13.966 points","Kuban Stadium",45.025277777,38.999444444
"FK Kukësi","Albania",0.5,7.875,6.3,":al:","Albania: 7.875 points","Zeqir Ymeri Stadium",42.1422,20.7003
"FK Kyzylzhar","Kazakhstan",0.375,9.875,3.8,":kz:","Kazakhstan: 9.875 points","Avangard Stadium",54.874085,69.152074
"FK Liepaja","Latvia",1,11,9.1,":lv:","Latvia: 11 points","Daugava Stadium",56.502952,20.995424
