"logo","club","nation","match_points","bonus_points","points_overall","status"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/131.png"" height=""40""></img>","FC Barcelona","ESP",17,14.75,"<b>31.75</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/46.png"" height=""40""></img>","Internazionale","ITA",17,14.25,"<b>31.25</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/31.png"" height=""40""></img>","Liverpool","ENG",16,13.5,"<b>29.5</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/11.png"" height=""40""></img>","Arsenal","ENG",15,13,"<b>28</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/27.png"" height=""40""></img>","Bayern München","GER",14,12.25,"<b>26.25</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/405.png"" height=""40""></img>","Aston Villa","ENG",13,11.75,"<b>24.75</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/13.png"" height=""40""></img>","Atlético Madrid","ESP",12,12.5,"<b>24.5</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/1082.png"" height=""40""></img>","Lille OSC","FRA",12,12,"<b>24</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/15.png"" height=""40""></img>","Bayer Leverkusen","GER",11,12.25,"<b>23.25</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/418.png"" height=""40""></img>","Real Madrid","ESP",12,11,"<b>23</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/583.png"" height=""40""></img>","Paris Saint-Germain","FRA",11,11.5,"<b>22.5</b>","&#x2714;&#xFE0F;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/16.png"" height=""40""></img>","Borussia Dortmund","GER",11,11.25,"<b>22.25</b>","&#x2714;&#xFE0F;"
