"country","team","overall_points_team","status","overall_points_country","percentage","flag","text"
"England","Manchester United",2.78571428571429,"not out",21.4642857142857,0.129783693843594,":gb-eng:","England: 21.464 points"
"England","Aston Villa",3.53571428571429,"not out",21.4642857142857,0.164725457570715,":gb-eng:","England: 21.464 points"
"England","Tottenham Hotspur",2.60714285714286,"not out",21.4642857142857,0.121464226289517,":gb-eng:","England: 21.464 points"
"England","Liverpool",3.92857142857143,"not out",21.4642857142857,0.183028286189684,":gb-eng:","England: 21.464 points"
"England","Chelsea",2.5,"not out",21.4642857142857,0.116472545757072,":gb-eng:","England: 21.464 points"
"England","Manchester City",2.10714285714286,"out",21.4642857142857,0.0981697171381032,":gb-eng:","England: 21.464 points"
"England","Arsenal",4,"not out",21.4642857142857,0.186356073211314,":gb-eng:","England: 21.464 points"
"Spain","Athletic Bilbao",2.82142857142857,"not out",19.3214285714286,0.146025878003697,":es:","Spain: 19.321 points"
"Spain","FC Barcelona",3.75,"not out",19.3214285714286,0.194085027726433,":es:","Spain: 19.321 points"
"Spain","Atlético Madrid",3.5,"not out",19.3214285714286,0.181146025878004,":es:","Spain: 19.321 points"
"Spain","Girona FC",1.14285714285714,"out",19.3214285714286,0.0591497227356747,":es:","Spain: 19.321 points"
"Spain","Real Sociedad",2.42857142857143,"not out",19.3214285714286,0.125693160813309,":es:","Spain: 19.321 points"
"Spain","Real Betis",1.82142857142857,"not out",19.3214285714286,0.0942698706099815,":es:","Spain: 19.321 points"
"Spain","Real Madrid",3.85714285714286,"not out",19.3214285714286,0.199630314232902,":es:","Spain: 19.321 points"
"Italy","Internazionale",3.21875,"not out",18.1875,0.176975945017182,":it:","Italy: 18.188 points"
"Italy","Atalanta",2.625,"out",18.1875,0.144329896907216,":it:","Italy: 18.188 points"
"Italy","AC Milan",2.5,"out",18.1875,0.13745704467354,":it:","Italy: 18.188 points"
"Italy","AS Roma",1.9375,"not out",18.1875,0.106529209621993,":it:","Italy: 18.188 points"
"Italy","Juventus",2.28125,"out",18.1875,0.125429553264605,":it:","Italy: 18.188 points"
"Italy","Bologna",1.375,"out",18.1875,0.0756013745704467,":it:","Italy: 18.188 points"
"Italy","Lazio",2.5,"not out",18.1875,0.13745704467354,":it:","Italy: 18.188 points"
"Italy","Fiorentina",1.75,"not out",18.1875,0.0962199312714777,":it:","Italy: 18.188 points"
"Germany","1.FC Heidenheim",1.515625,"out",16.171875,0.093719806763285,":de:","Germany: 16.172 points"
"Germany","1899 Hoffenheim",0.875,"out",16.171875,0.0541062801932367,":de:","Germany: 16.172 points"
