"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"Suduva Marijampole","Lithuania",0,"out",2.375,0,":lt:","Lithuania: 2.375 points","ARVI Football Arena",54.574547,23.365392
"Sutjeska Niksic","Montenegro",0.125,"out",1,12.5,":me:","Montenegro: 1 points","Gradski stadion",42.784947,18.953731
"The New Saints","Wales",0.5,"out",1.167,42.9,":gb-wls:","Wales: 1.167 points","Park Hall",52.8759,-3.02631
"Tobol Kustanai","Kazakhstan",0.75,"out",1.125,66.7,":kz:","Kazakhstan: 1.125 points","Kostanay Central Stadium",53.225974,63.636578
"Tottenham Hotspur","England",2.429,"not out",15.286,15.9,":gb-eng:","England: 15.286 points","Tottenham Hotspur Stadium",51.604444444,-0.066388888
"Trabzonspor","Turkey",0.9,"not out",8.4,10.7,":tr:","Turkey: 8.4 points","Senol Günes Stadium",40.9987,39.6463
"Tre Fiori","San Marino",0.833,"out",0.833,100,":sm:","San Marino: 0.833 points","Stadio Olimpico",43.97125,12.476972
"Tre Penne","San Marino",0,"out",0.833,0,":sm:","San Marino: 0.833 points","Stadio Fonte dell'Ovo",43.9296,12.4427
"Tuzla City","Bosnia-Herzegovina",0.5,"out",2,25,":ba:","Bosnia-Herzegovina: 2 points","Tušanj City Stadium",44.54172,18.661528
"UE Santa Coloma","Andorra",0,"out",0.667,0,":ad:","Andorra: 0.667 points","Estadi Comunal d'Aixovall",42.476389,1.487667
"Union Berlin","Germany",0.75,"not out",13,5.8,":de:","Germany: 13 points","Stadion An der Alten Försterei",52.457222,13.568056
"Union Saint-Gilloise","Belgium",3,"not out",9.4,31.9,":be:","Belgium: 9.4 points","Stade Joseph Marien - Joseph Marienstadion",50.8178,4.32917
"Universitatea Craiova","Romania",0.875,"out",5.25,16.7,":ro:","Romania: 5.25 points","Stadionul Ion Oblemenco",44.313889,23.784167
"Valmieras FK","Latvia",0,"out",2.75,0,":lv:","Latvia: 2.75 points","Örjans Vall",56.684166666,12.866388888
"Velez Mostar","Bosnia-Herzegovina",0,"out",2,0,":ba:","Bosnia-Herzegovina: 2 points","Stadion pod Bijelim Brijegom",43.345556,17.795278
"Viborg FF","Denmark",0.8,"out",4.9,16.3,":dk:","Denmark: 4.9 points","Evergi Viborg Arena",56.455897,9.402064
"Viking Stavanger","Norway",0.875,"out",5.5,15.9,":no:","Norway: 5.5 points","Viking Stadion",58.914611,5.730442
"Víkingur","Faroe Islands",0.5,"out",2.25,22.2,":fo:","Faroe Islands: 2.25 points","Víkingsvöllur",64.117222,-21.852778
"Vikingur Reykjavik","Iceland",1.667,"out",3,55.6,":is:","Iceland: 3 points","KR-völlur",64.145683,-21.967728
"Viktoria Plzen","Czech Republic",2.375,"out",6.25,38,":cz:","Czech Republic: 6.25 points","Doosan Arena",49.75,13.385556
"Villarreal","Spain",1.857,"not out",11.714,15.9,":es:","Spain: 11.714 points","Estadio de la Cerámica",39.944167,-0.103611
"Vitória Guimarães","Portugal",0.417,"out",9.667,4.3,":pt:","Portugal: 9.667 points","Afonso Henriques Stadium",41.445833,-8.301111
"Vllaznia Shkodër","Albania",0.125,"out",0.875,14.3,":al:","Albania: 0.875 points","Loro Boriçi Stadium",42.070031,19.506558
"Vorskla Poltava","Ukraine",0.2,"out",4.7,4.3,":ua:","Ukraine: 4.7 points","Oleksiy Butovskyi Vorskla Stadium",49.594833,34.549444
"West Ham United","England",2,"not out",15.286,13.1,":gb-eng:","England: 15.286 points","London Stadium",51.538611111,-0.016388888
"Wolfsberger AC","Austria",0.5,"out",4.5,11.1,":at:","Austria: 4.5 points","Lavanttal-Arena",46.8253,14.8514
"Young Boys","Switzerland",1.25,"out",5.25,23.8,":ch:","Switzerland: 5.25 points","Stadion Wankdorf",46.962778,7.465
"Zalgiris Vilnius","Lithuania",2.125,"not out",2.375,89.5,":lt:","Lithuania: 2.375 points","LFF Stadium",54.668611,25.294444
"Zira FK","Azerbaijan",0.125,"out",3.25,3.8,":az:","Azerbaijan: 3.25 points","Zira Olympic Sport Complex Stadium",40.35892,50.29311
"Zorya Luhansk","Ukraine",0.2,"out",4.7,4.3,":ua:","Ukraine: 4.7 points","Avanhard Stadium",48.559444,39.321111
"Zrinjski Mostar","Bosnia-Herzegovina",1.25,"out",2,62.5,":ba:","Bosnia-Herzegovina: 2 points","Stadion pod Bijelim Brijegom",43.345556,17.795278
