"team","country","overall_points_team","status","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"Derry City","Ireland",0,"out",3.375,0,":ie:","Ireland: 3.375 points","Brandywell Stadium",54.990633,-7.336
"Differdange 03","Luxembourg",0.125,"out",1.125,11.1,":lu:","Luxembourg: 1.125 points","Stade Municipal de la Ville de Differdange",49.513932,5.889775
"Dila Gori","Georgia",0.125,"out",1.125,11.1,":ge:","Georgia: 1.125 points","Tengiz Burjanadze Stadium",41.983019,44.103828
"Dinamo Batumi","Georgia",0.25,"out",1.125,22.2,":ge:","Georgia: 1.125 points","Chele Arena",41.812981,41.774458
"Dinamo Minsk","Belarus",0.375,"out",0.625,60,":by:","Belarus: 0.625 points","Dinamo Stadium",53.895138888,27.560277777
"Dinamo Tbilisi","Georgia",0.25,"out",1.125,22.2,":ge:","Georgia: 1.125 points","Dinamo Arena",41.723,44.78975
"Djurgårdens IF","Sweden",4,"not out",5.75,69.6,":se:","Sweden: 5.75 points","Stockholm Olympic Stadium",59.345278,18.078889
"Dundee United","Scotland",0.2,"out",3.5,5.7,":gb-sct:","Scotland: 3.5 points","Tannadice Park",56.474703,-2.968961
"Dynamo Kyiv","Ukraine",0.9,"not out",4.7,19.1,":ua:","Ukraine: 4.7 points","Olimpiyskiy National Sports Complex",50.433333333,30.521666666
"Eintracht Frankfurt","Germany",2,"not out",13,15.4,":de:","Germany: 13 points","Waldstadion",50.068611,8.645278
"Europa FC","Gibraltar",0,"out",0.875,0,":gi:","Gibraltar: 0.875 points","Victoria Stadium",36.149356,-5.350342
"F91 Dudelange","Luxembourg",1,"out",1.125,88.9,":lu:","Luxembourg: 1.125 points","Stade Jos Nosbaum",49.472222222,6.084722222
"FC Ballkani","Kosovo",2.125,"not out",2.875,73.9,":xk:","Kosovo: 2.875 points","Balkanabat Stadium",39.511944,54.365
"FC Barcelona","Spain",1.286,"not out",11.714,11,":es:","Spain: 11.714 points","Camp Nou",41.380833,2.1225
"FC Basel","Switzerland",2.375,"not out",5.25,45.2,":ch:","Switzerland: 5.25 points","St. Jakob-Park",47.541389,7.62
"FC Drita","Kosovo",0.375,"out",2.875,13,":xk:","Kosovo: 2.875 points","Stadium Bogovinje",41.4375,22.7689
"FC Fehérvár","Hungary",1,"out",5.875,17,":hu:","Hungary: 5.875 points","Sóstói Stadion",47.17369444,18.41536111
