"logo","club","nation","value_table","points_overall","mio_per_point","status"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/6170.png"" height=""40""></img>","KI Klaksvik","FRO","<p style=""color:darkgreen"">    2,770,000 €</p>",3,"<b>0.92</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/10625.png"" height=""40""></img>","Qarabag FK","AZB","<p style=""color:darkgreen"">   12,900,000 €</p>",11,"<b>1.17</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/119.png"" height=""40""></img>","Maccabi Tel-Aviv","ISR","<p style=""color:darkgreen"">   21,850,000 €</p>",14,"<b>1.56</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/941.png"" height=""40""></img>","Viktoria Plzen","CZE","<p style=""color:darkgreen"">   30,000,000 €</p>",17,"<b>1.76</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/28082.png"" height=""40""></img>","FC Ballkani","KOS","<p style=""color:darkgreen"">    5,480,000 €</p>",3,"<b>1.83</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/540.png"" height=""40""></img>","Slovan Bratislava","SLK","<p style=""color:darkgreen"">   15,700,000 €</p>",8,"<b>1.96</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/370.png"" height=""40""></img>","Aberdeen","SCO","<p style=""color:darkgreen"">   13,780,000 €</p>",5,"<b>2.76</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/4772.png"" height=""40""></img>","Olimpija Ljubljana","SLO","<p style=""color:darkgreen"">   12,130,000 €</p>",4,"<b>3.03</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/62.png"" height=""40""></img>","Slavia Praha","CZE","<p style=""color:darkgreen"">   45,800,000 €</p>",15,"<b>3.05</b>","&#x274C;"
"<img src=""https://tmssl.akamaized.net/images/wappen/head/6808.png"" height=""40""></img>","Zrinjski Mostar","BOS","<p style=""color:darkgreen"">    9,500,000 €</p>",3,"<b>3.17</b>","&#x274C;"
