"","club","clubLabel","venue","venueLabel","coordinates","breitengrad","laengengrad"
"37","http://www.wikidata.org/entity/Q19456","Bristol City F.C.","http://www.wikidata.org/entity/Q726370","Ashton Gate Stadium","-2.620278 51.44","51.44","-2.620278"
"38","http://www.wikidata.org/entity/Q19603","FC Twente","http://www.wikidata.org/entity/Q727389","De Grolsch Veste","6.8375 52.236666666","52.236666666","6.8375"
"39","http://www.wikidata.org/entity/Q19518","Toulouse FC","http://www.wikidata.org/entity/Q738044","Stadium Municipal","1.434055 43.583296","43.583296","1.434055"
"40","http://www.wikidata.org/entity/Q19513","Montpellier Hérault Sport Club","http://www.wikidata.org/entity/Q815833","Stade de la Mosson","3.811944 43.621944","43.621944","3.811944"
"41","http://www.wikidata.org/entity/Q19444","Birmingham City F.C.","http://www.wikidata.org/entity/Q819179","St Andrew's","-1.868188888 52.475702777","52.475702777","-1.868188888"
"42","http://www.wikidata.org/entity/Q18661","Middlesbrough F.C.","http://www.wikidata.org/entity/Q822886","Riverside Stadium","-1.216944444 54.578333333","54.578333333","-1.216944444"
"43","http://www.wikidata.org/entity/Q19580","Coventry City F.C.","http://www.wikidata.org/entity/Q842077","Ricoh Arena","-1.495556 52.448056","52.448056","-1.495556"
"44","http://www.wikidata.org/entity/Q19521","AS Saint-Étienne","http://www.wikidata.org/entity/Q861000","Stade Geoffroy-Guichard","4.39 45.460833","45.460833","4.39"
"45","http://www.wikidata.org/entity/Q18662","Cardiff City F.C.","http://www.wikidata.org/entity/Q867902","Cardiff City Stadium","-3.203056 51.472778","51.472778","-3.203056"
"46","http://www.wikidata.org/entity/Q19449","Blackpool F.C.","http://www.wikidata.org/entity/Q870859","Bloomfield Road","-3.048056 53.804722","53.804722","-3.048056"
"47","http://www.wikidata.org/entity/Q19601","Oldham Athletic A.F.C.","http://www.wikidata.org/entity/Q895151","Boundary Park","-2.128611111 53.555277777","53.555277777","-2.128611111"
"48","http://www.wikidata.org/entity/Q19607","Sheffield United F.C.","http://www.wikidata.org/entity/Q897533","Bramall Lane","-1.470833333 53.370277777","53.370277777","-1.470833333"
"49","http://www.wikidata.org/entity/Q19487","Millwall F.C.","http://www.wikidata.org/entity/Q908481","The Den","-0.050833 51.485833","51.485833","-0.050833"
"50","http://www.wikidata.org/entity/Q19595","Leyton Orient F.C.","http://www.wikidata.org/entity/Q917727","Brisbane Road","-0.012639 51.560139","51.560139","-0.012639"
"51","http://www.wikidata.org/entity/Q19462","Charlton Athletic F.C.","http://www.wikidata.org/entity/Q958319","The Valley","0.035632 51.487489","51.487489","0.035632"
"52","http://www.wikidata.org/entity/Q19482","Wimbledon F.C.","http://www.wikidata.org/entity/Q975681","Plough Lane","-0.189667 51.428472","51.428472","-0.189667"
"53","http://www.wikidata.org/entity/Q19575","Carlisle United F.C.","http://www.wikidata.org/entity/Q994219","Brunton Park","-2.91365 54.89556","54.89556","-2.91365"
"54","http://www.wikidata.org/entity/Q19467","Crystal Palace F.C.","http://www.wikidata.org/entity/Q1066373","Selhurst Park","-0.085555555 51.398333333","51.398333333","-0.085555555"
"55","http://www.wikidata.org/entity/Q19509","Stade Rennais F.C.","http://www.wikidata.org/entity/Q1121760","Roazhon Park","-1.712861111 48.107472222","48.107472222","-1.712861111"
"56","http://www.wikidata.org/entity/Q19442","Barnsley F.C.","http://www.wikidata.org/entity/Q1138270","Oakwell","-1.4675 53.552222","53.552222","-1.4675"
"57","http://www.wikidata.org/entity/Q19578","Colchester United F.C.","http://www.wikidata.org/entity/Q1141371","Colchester Community Stadium","0.897703 51.9234","51.9234","0.897703"
"58","http://www.wikidata.org/entity/Q19612","Preston North End F.C.","http://www.wikidata.org/entity/Q1141958","Deepdale","-2.688055555 53.772222222","53.772222222","-2.688055555"
"59","http://www.wikidata.org/entity/Q19585","R. Charleroi S.C.","http://www.wikidata.org/entity/Q1147565","Stade du Pays de Charleroi","4.453787 50.414609","50.414609","4.453787"
"60","http://www.wikidata.org/entity/Q19495","Peterborough United F.C.","http://www.wikidata.org/entity/Q1156350","London Road Stadium","-0.240389 52.564694","52.564694","-0.240389"
"61","http://www.wikidata.org/entity/Q19598","Notts County F.C.","http://www.wikidata.org/entity/Q1192396","Meadow Lane","-1.137222 52.9425","52.9425","-1.137222"
"62","http://www.wikidata.org/entity/Q18529","Wrexham A.F.C.","http://www.wikidata.org/entity/Q1202579","Racecourse Ground","-3.003611 53.051944","53.051944","-3.003611"
"63","http://www.wikidata.org/entity/Q19589","Doncaster Rovers F.C.","http://www.wikidata.org/entity/Q1336402","Keepmoat Stadium","-1.113889 53.509722","53.509722","-1.113889"
"64","http://www.wikidata.org/entity/Q19523","A.S. Nancy-Lorraine","http://www.wikidata.org/entity/Q1341607","Stade Marcel Picot","6.210687 48.6955","48.6955","6.210687"
"65","http://www.wikidata.org/entity/Q19512","FC Sochaux-Montbéliard","http://www.wikidata.org/entity/Q1341629","Stade Auguste Bonal","6.811094 47.512403","47.512403","6.811094"
"66","http://www.wikidata.org/entity/Q19066","Club Universitario de Deportes","http://www.wikidata.org/entity/Q1369426","Estadio Monumental U","-76.935972 -12.055694","-12.055694","-76.935972"
"67","http://www.wikidata.org/entity/Q19516","Lille OSC","http://www.wikidata.org/entity/Q1410402","Stade du RCL","3.130556 50.611944","50.611944","3.130556"
"68","http://www.wikidata.org/entity/Q19571","Brentford F.C.","http://www.wikidata.org/entity/Q1546623","Griffin Park","-0.302639 51.488167","51.488167","-0.302639"
"69","http://www.wikidata.org/entity/Q18660","Altrincham F.C.","http://www.wikidata.org/entity/Q2440403","Moss Lane","-2.335158 53.383436","53.383436","-2.335158"
"70","http://www.wikidata.org/entity/Q18831","FK Ventspils","http://www.wikidata.org/entity/Q2637796","Ventspils Olimpiskais Stadions","21.5704 57.3873","57.3873","21.5704"
"71","http://www.wikidata.org/entity/Q19353","FC Anzhi Makhachkala","http://www.wikidata.org/entity/Q3660718","Khazar Stadium","47.618587 42.907901","42.907901","47.618587"
"72","http://www.wikidata.org/entity/Q18528","Woking F.C.","http://www.wikidata.org/entity/Q6412727","Kingfield Stadium","-0.558811 51.306333","51.306333","-0.558811"
"73","http://www.wikidata.org/entity/Q18687","Lewisham Borough F.C.","http://www.wikidata.org/entity/Q15241238","Ladywell Arena","-0.02166667 51.45111111","51.45111111","-0.02166667"
"74","http://www.wikidata.org/entity/Q19593","Celtic F.C.","http://www.wikidata.org/entity/Q22097642","Celtic Park","-4.2013 55.8499","55.8499","-4.2013"
"75","http://www.wikidata.org/entity/Q18741","Tottenham Hotspur F.C.","http://www.wikidata.org/entity/Q55074091","Tottenham Hotspur Stadium","-0.066388888 51.604444444","51.604444444","-0.066388888"
"76","http://www.wikidata.org/entity/Q80958","Botafogo F.R.","http://www.wikidata.org/entity/Q17489","Estádio Nilton Santos","-43.292269 -22.893172","-22.893172","-43.292269"
